gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
male,group A,associate's degree,standard,completed,38,58,9
female,group C,associate's degree,free/reduced,completed,59,26,43
female,group A,some high school,free/reduced,completed,51,16,97
male,group E,high school,standard,completed,30,59,15
male,group D,some college,standard,none,6,37,49
male,group C,some college,free/reduced,completed,24,97,20
male,group E,associate's degree,free/reduced,completed,63,2,11
male,group E,associate's degree,standard,none,74,45,6
female,group A,associate's degree,free/reduced,completed,68,1,13
male,group C,master's degree,free/reduced,completed,46,5,51
female,group E,high school,standard,completed,70,36,9
male,group E,associate's degree,free/reduced,none,16,12,50
male,group A,high school,free/reduced,none,25,77,65
male,group E,bachelor's degree,standard,none,17,91,42
male,group E,associate's degree,standard,none,41,78,40
female,group D,high school,free/reduced,completed,64,65,68
male,group E,master's degree,free/reduced,none,47,42,86
female,group D,high school,free/reduced,none,76,60,33
female,group B,high school,free/reduced,none,67,80,92
male,group C,some high school,standard,none,73,89,14
female,group B,associate's degree,free/reduced,completed,19,52,88
female,group D,high school,free/reduced,none,90,17,66
female,group E,master's degree,free/reduced,completed,40,22,58
male,group E,master's degree,free/reduced,completed,24,31,35
male,group C,master's degree,free/reduced,none,88,90,62
male,group D,master's degree,free/reduced,completed,15,73,86
male,group D,master's degree,standard,completed,5,36,91
female,group A,associate's degree,free/reduced,completed,27,25,68
male,group E,some high school,free/reduced,none,13,78,94
female,group C,bachelor's degree,standard,none,6,12,52
male,group D,bachelor's degree,standard,none,70,20,52
male,group D,some high school,standard,completed,41,36,82
female,group B,some high school,standard,none,22,53,22
female,group D,associate's degree,standard,completed,4,1,38
female,group A,master's degree,free/reduced,completed,17,64,59
male,group C,bachelor's degree,free/reduced,none,93,58,82
male,group C,bachelor's degree,free/reduced,completed,72,86,96
female,group C,high school,free/reduced,completed,65,41,11
male,group B,some college,standard,completed,41,31,0
male,group D,some college,free/reduced,completed,42,38,74
female,group A,some high school,free/reduced,none,7,85,15
male,group A,some college,free/reduced,completed,88,15,81
male,group A,high school,standard,none,17,61,19
male,group E,master's degree,free/reduced,completed,96,68,85
female,group C,some high school,standard,completed,67,90,46
female,group E,bachelor's degree,standard,none,73,68,19
female,group A,high school,free/reduced,none,87,26,91
male,group B,high school,free/reduced,none,58,16,65
male,group D,high school,standard,completed,86,39,92
female,group D,master's degree,standard,none,74,9,5
male,group A,some high school,standard,none,8,60,4
male,group D,some college,standard,completed,47,48,57
male,group D,bachelor's degree,standard,completed,15,22,68
male,group E,some college,standard,none,96,2,38
male,group E,associate's degree,free/reduced,none,31,58,44
female,group A,some college,standard,none,84,53,78
female,group C,some college,standard,none,76,4,57
female,group C,some high school,standard,completed,56,29,69
female,group B,some college,free/reduced,none,93,73,40
male,group C,master's degree,standard,none,52,38,35
female,group E,high school,standard,completed,71,63,6
male,group D,high school,free/reduced,completed,52,19,38
male,group C,high school,free/reduced,none,28,38,90
female,group D,bachelor's degree,free/reduced,completed,71,67,17
male,group C,master's degree,standard,completed,82,10,57
male,group B,high school,standard,none,34,48,86
female,group B,some college,standard,completed,26,42,38
female,group C,some college,standard,completed,31,89,77
female,group D,some college,free/reduced,completed,48,59,68
male,group A,master's degree,free/reduced,completed,59,12,92
male,group A,some college,free/reduced,completed,52,5,72
female,group C,bachelor's degree,free/reduced,completed,37,19,25
male,group C,associate's degree,standard,completed,70,83,87
male,group A,associate's degree,free/reduced,completed,21,93,45
female,group C,some high school,free/reduced,none,69,82,7
female,group B,some high school,standard,none,52,17,80
female,group B,some high school,standard,none,27,64,58
male,group B,high school,free/reduced,completed,2,0,68
male,group B,bachelor's degree,free/reduced,completed,2,64,89
male,group C,bachelor's degree,standard,none,30,24,79
male,group A,master's degree,free/reduced,none,47,51,58
female,group C,master's degree,standard,none,11,51,48
male,group E,associate's degree,standard,none,89,21,10
male,group D,some high school,free/reduced,none,67,5,29
female,group E,associate's degree,free/reduced,none,9,87,35
female,group C,master's degree,standard,none,75,18,96
male,group B,master's degree,standard,none,72,49,86
male,group D,some high school,standard,none,64,95,44
female,group B,associate's degree,standard,none,43,77,98
male,group A,bachelor's degree,free/reduced,completed,62,29,45
male,group D,some college,free/reduced,none,98,79,37
female,group B,bachelor's degree,free/reduced,none,48,91,100
female,group D,master's degree,free/reduced,none,11,0,39
male,group A,master's degree,standard,none,11,23,55
male,group E,high school,free/reduced,none,3,11,45
female,group E,high school,free/reduced,completed,1,37,52
male,group B,some high school,standard,none,87,48,21
female,group A,master's degree,free/reduced,completed,18,8,21
male,group A,associate's degree,free/reduced,completed,100,9,46
male,group C,some high school,free/reduced,none,58,13,17
male,group B,associate's degree,free/reduced,completed,42,56,42
male,group E,some college,free/reduced,completed,77,88,25
male,group A,some college,free/reduced,completed,37,94,88
male,group E,some college,free/reduced,completed,35,100,50
male,group B,high school,standard,none,87,98,70
female,group D,some high school,standard,completed,37,88,8
male,group D,some college,free/reduced,none,32,84,19
male,group D,bachelor's degree,free/reduced,completed,74,51,68
male,group E,bachelor's degree,free/reduced,none,13,98,31
male,group C,some high school,standard,completed,96,42,55
female,group B,bachelor's degree,free/reduced,none,65,95,66
female,group D,master's degree,free/reduced,completed,98,86,75
female,group A,bachelor's degree,free/reduced,none,37,53,10
female,group C,master's degree,free/reduced,completed,58,100,26
male,group A,associate's degree,standard,completed,92,89,57
male,group B,master's degree,standard,none,2,43,82
female,group C,some high school,standard,none,70,20,42
male,group D,some college,free/reduced,none,23,81,84
male,group D,bachelor's degree,standard,completed,75,54,49
female,group C,some college,free/reduced,none,73,13,68
female,group A,master's degree,standard,completed,14,33,85
male,group E,some high school,free/reduced,completed,78,50,75
female,group A,master's degree,free/reduced,none,86,90,38
female,group C,master's degree,standard,none,39,14,23
male,group C,high school,free/reduced,completed,76,17,73
male,group D,some college,free/reduced,none,71,21,62
male,group C,some college,free/reduced,completed,79,6,45
female,group D,some college,standard,completed,71,64,83
male,group D,some high school,free/reduced,completed,90,56,62
female,group B,high school,standard,none,37,4,35
female,group E,master's degree,standard,completed,72,95,98
male,group E,high school,standard,none,34,99,69
male,group E,bachelor's degree,free/reduced,none,54,13,94
female,group A,bachelor's degree,free/reduced,completed,44,11,56
female,group C,some college,free/reduced,completed,21,78,17
female,group C,bachelor's degree,free/reduced,completed,76,68,21
male,group A,master's degree,free/reduced,none,17,96,100
male,group B,master's degree,standard,none,31,18,91
male,group C,some high school,free/reduced,completed,18,73,80
male,group D,associate's degree,free/reduced,none,81,98,11
male,group E,some high school,free/reduced,completed,58,62,41
female,group B,some high school,free/reduced,completed,8,68,50
female,group D,some college,free/reduced,completed,41,36,43
female,group E,associate's degree,free/reduced,none,5,12,80
male,group B,bachelor's degree,standard,completed,58,0,54
female,group C,some high school,free/reduced,none,35,11,83
male,group A,bachelor's degree,free/reduced,none,6,50,80
male,group C,associate's degree,standard,none,0,27,61
female,group C,high school,standard,completed,1,1,89
male,group B,associate's degree,standard,completed,9,29,49
female,group B,bachelor's degree,free/reduced,completed,38,17,48
female,group C,bachelor's degree,standard,none,56,44,92
female,group C,associate's degree,free/reduced,none,11,12,17
female,group E,some high school,free/reduced,completed,54,40,17
female,group A,some high school,standard,none,70,76,76
male,group B,some high school,free/reduced,none,66,77,65
female,group D,master's degree,standard,none,63,49,14
female,group D,some high school,standard,none,46,40,16
male,group E,associate's degree,free/reduced,none,97,60,98
female,group B,high school,standard,none,33,27,5
female,group D,high school,free/reduced,completed,54,89,51
female,group E,high school,standard,completed,10,39,10
female,group C,high school,free/reduced,completed,75,81,97
female,group A,some high school,free/reduced,none,7,31,11
male,group B,associate's degree,standard,completed,85,94,84
female,group B,bachelor's degree,standard,none,20,63,44
male,group C,master's degree,standard,completed,93,15,98
female,group A,associate's degree,free/reduced,none,33,91,73
female,group D,associate's degree,free/reduced,none,63,72,21
male,group C,master's degree,standard,none,29,94,65
female,group B,bachelor's degree,standard,none,60,46,49
female,group C,bachelor's degree,free/reduced,none,41,31,53
male,group A,bachelor's degree,free/reduced,none,64,86,6
female,group C,high school,standard,completed,8,59,36
male,group A,bachelor's degree,free/reduced,none,47,25,37
male,group E,some college,free/reduced,completed,75,63,98
female,group E,some college,standard,none,52,3,29
male,group B,master's degree,standard,completed,94,93,39
female,group C,high school,standard,completed,62,7,18
male,group B,bachelor's degree,standard,completed,89,47,58
female,group E,bachelor's degree,standard,completed,9,75,72
female,group D,some high school,standard,none,37,33,40
male,group A,master's degree,free/reduced,completed,29,9,25
female,group E,bachelor's degree,standard,none,21,57,59
male,group D,bachelor's degree,free/reduced,none,57,39,59
male,group B,bachelor's degree,standard,completed,90,89,77
female,group C,master's degree,standard,none,91,31,45
male,group E,bachelor's degree,free/reduced,completed,22,3,51
male,group E,some high school,standard,none,59,13,17
female,group B,bachelor's degree,standard,none,25,51,47
female,group E,high school,free/reduced,none,2,8,25
male,group C,bachelor's degree,free/reduced,none,5,59,6
female,group E,associate's degree,free/reduced,completed,3,48,87
male,group C,master's degree,standard,none,35,35,57
female,group B,high school,standard,completed,63,52,70
male,group B,bachelor's degree,free/reduced,completed,17,53,25
female,group E,bachelor's degree,free/reduced,completed,61,69,100
male,group A,high school,free/reduced,completed,34,23,3
male,group E,some college,standard,completed,7,60,67
male,group E,some college,standard,none,31,84,30
male,group E,some high school,standard,none,73,49,45
female,group C,some college,free/reduced,completed,75,3,90
male,group E,high school,standard,none,63,69,39
female,group D,bachelor's degree,standard,none,29,77,28
female,group E,associate's degree,standard,completed,78,25,16
male,group C,master's degree,standard,none,18,75,90
female,group B,high school,free/reduced,none,47,90,84
male,group E,bachelor's degree,free/reduced,completed,41,17,20
male,group D,some high school,free/reduced,none,90,71,88
male,group C,some high school,standard,completed,39,93,88
male,group C,some college,standard,completed,98,72,4
female,group E,master's degree,standard,none,63,18,42
female,group C,master's degree,free/reduced,none,81,11,90
male,group D,bachelor's degree,free/reduced,none,31,88,8
male,group A,bachelor's degree,standard,none,49,56,93
male,group C,associate's degree,free/reduced,completed,44,69,48
female,group D,high school,standard,none,57,9,4
male,group B,master's degree,free/reduced,none,9,43,21
male,group C,some high school,standard,none,43,76,78
male,group B,associate's degree,standard,completed,20,6,12
male,group C,some college,free/reduced,completed,84,36,38
female,group B,bachelor's degree,free/reduced,completed,19,6,46
female,group D,bachelor's degree,free/reduced,completed,25,12,3
female,group C,some high school,free/reduced,none,60,14,39
male,group D,associate's degree,free/reduced,none,82,69,49
female,group A,associate's degree,free/reduced,none,57,5,33
male,group D,master's degree,standard,completed,72,7,19
female,group B,some high school,free/reduced,completed,96,75,29
female,group D,high school,free/reduced,completed,73,30,60
male,group B,associate's degree,standard,none,15,96,57
female,group C,some college,standard,none,5,54,10
male,group C,some high school,standard,completed,40,93,8
female,group D,high school,free/reduced,completed,35,66,58
female,group E,high school,free/reduced,none,53,19,18
female,group B,high school,standard,completed,68,44,52
male,group D,some high school,free/reduced,completed,4,22,35
male,group C,high school,free/reduced,none,50,42,88
female,group B,some high school,free/reduced,completed,47,2,43
male,group A,master's degree,free/reduced,none,29,17,38
male,group A,master's degree,free/reduced,none,24,56,27
male,group D,high school,free/reduced,none,65,20,8
male,group E,associate's degree,standard,none,22,24,25
female,group C,bachelor's degree,free/reduced,none,46,90,25
male,group A,associate's degree,free/reduced,none,87,3,30
male,group D,high school,free/reduced,none,60,75,70
male,group A,some college,free/reduced,none,36,3,49
female,group C,high school,standard,none,82,28,86
female,group A,some high school,free/reduced,none,99,98,87
female,group D,some college,standard,none,28,32,77
male,group A,associate's degree,free/reduced,completed,58,32,27
male,group A,some high school,free/reduced,none,0,65,84
male,group E,some high school,free/reduced,completed,87,13,61
female,group A,master's degree,free/reduced,completed,33,83,91
male,group C,some college,standard,none,76,51,84
male,group C,some high school,standard,completed,37,33,53
male,group D,some high school,standard,none,43,92,91
female,group E,some high school,free/reduced,completed,64,38,21
female,group A,bachelor's degree,free/reduced,none,94,33,92
female,group A,some high school,standard,none,45,28,95
male,group D,master's degree,free/reduced,completed,74,37,59
female,group D,bachelor's degree,standard,completed,24,64,15
male,group E,master's degree,free/reduced,none,19,17,25
male,group D,high school,free/reduced,none,40,91,23
female,group D,master's degree,standard,completed,81,7,0
male,group A,some college,standard,none,62,100,97
female,group C,high school,free/reduced,completed,51,54,61
male,group B,bachelor's degree,standard,completed,1,41,96
female,group B,some high school,standard,none,28,88,44
male,group C,bachelor's degree,free/reduced,completed,21,8,5
male,group A,associate's degree,free/reduced,completed,87,17,43
male,group A,some college,standard,completed,2,29,28
female,group C,some high school,standard,none,15,46,91
female,group D,some high school,free/reduced,none,76,6,84
female,group B,bachelor's degree,standard,completed,56,48,15
male,group D,some high school,standard,none,88,87,80
female,group A,associate's degree,standard,completed,79,77,89
female,group D,bachelor's degree,standard,completed,14,100,13
male,group C,high school,standard,completed,66,25,45
male,group A,some college,standard,completed,26,88,61
male,group C,bachelor's degree,standard,none,14,73,85
male,group C,bachelor's degree,standard,none,32,82,29
male,group A,master's degree,free/reduced,none,12,22,5
male,group A,some high school,free/reduced,completed,94,14,12
female,group B,some college,standard,completed,45,56,79
male,group B,master's degree,free/reduced,none,14,51,51
male,group A,associate's degree,free/reduced,completed,83,21,14
female,group B,some college,standard,completed,75,61,72
male,group C,high school,free/reduced,completed,78,3,87
female,group D,associate's degree,standard,completed,56,5,8
male,group A,bachelor's degree,standard,completed,66,66,88
female,group D,some high school,standard,completed,44,84,86
male,group C,high school,standard,none,82,20,64
male,group D,some college,standard,completed,41,30,42
male,group B,high school,standard,completed,51,30,10
male,group D,high school,free/reduced,none,63,57,40
female,group D,some high school,standard,none,51,52,4
female,group B,high school,free/reduced,none,83,85,58
male,group A,bachelor's degree,standard,completed,42,71,98
male,group A,some high school,free/reduced,none,12,97,84
female,group B,master's degree,free/reduced,completed,70,66,47
female,group B,some college,free/reduced,none,91,95,92
male,group B,master's degree,standard,none,15,50,27
male,group C,some high school,free/reduced,none,96,53,5
female,group D,associate's degree,standard,completed,0,67,94
female,group E,associate's degree,free/reduced,none,88,74,22
female,group B,associate's degree,free/reduced,completed,53,77,88
female,group A,associate's degree,free/reduced,completed,57,17,17
male,group E,some high school,free/reduced,completed,91,94,70
female,group C,some college,free/reduced,completed,86,16,90
female,group E,high school,free/reduced,none,97,45,71
male,group E,high school,free/reduced,completed,54,1,66
female,group B,associate's degree,standard,none,85,7,25
male,group C,master's degree,free/reduced,none,7,88,100
male,group C,high school,standard,completed,57,13,78
female,group E,associate's degree,standard,completed,88,85,6
male,group D,associate's degree,free/reduced,none,1,95,32
female,group E,associate's degree,standard,completed,96,75,69
female,group C,master's degree,free/reduced,none,87,9,23
female,group E,bachelor's degree,free/reduced,none,54,35,71
male,group C,some college,free/reduced,none,42,59,90
female,group B,some college,free/reduced,none,99,80,78
male,group D,high school,free/reduced,none,100,90,40
female,group C,high school,standard,none,53,69,68
male,group B,master's degree,standard,none,84,42,42
male,group A,some college,free/reduced,none,14,85,44
male,group C,some high school,standard,none,87,41,48
female,group D,master's degree,free/reduced,none,66,98,47
male,group D,bachelor's degree,free/reduced,none,41,65,10
female,group C,high school,standard,none,26,85,80
female,group D,bachelor's degree,standard,completed,82,9,95
female,group B,associate's degree,free/reduced,none,11,9,6
female,group A,high school,standard,none,33,52,49
male,group D,associate's degree,free/reduced,none,49,86,15
female,group E,bachelor's degree,standard,none,45,64,13
male,group A,high school,standard,completed,97,56,48
male,group B,associate's degree,standard,none,17,95,50
male,group C,master's degree,free/reduced,none,70,71,18
female,group B,bachelor's degree,free/reduced,none,39,26,95
male,group C,associate's degree,standard,none,23,28,78
male,group C,bachelor's degree,standard,none,96,70,59
female,group A,some high school,standard,completed,12,25,92
male,group A,master's degree,standard,none,12,36,79
female,group C,master's degree,free/reduced,completed,42,78,84
male,group E,some college,free/reduced,completed,54,21,0
male,group C,some college,free/reduced,completed,46,17,86
male,group D,associate's degree,free/reduced,completed,99,39,62
female,group C,some high school,standard,completed,17,68,25
male,group B,some high school,standard,none,64,80,3
male,group E,some college,standard,completed,69,69,60
female,group A,associate's degree,standard,completed,17,59,64
female,group D,master's degree,standard,none,78,87,21
female,group D,some college,standard,none,94,93,61
male,group B,some college,free/reduced,none,8,33,47
female,group B,some high school,standard,completed,49,60,58
female,group B,some high school,free/reduced,none,90,66,81
male,group A,high school,standard,completed,83,48,46
female,group E,master's degree,free/reduced,none,66,51,45
male,group D,associate's degree,standard,none,56,21,29
female,group E,some high school,free/reduced,none,19,23,20
male,group E,some high school,standard,none,53,42,92
female,group D,some high school,free/reduced,completed,26,75,20
male,group B,some college,standard,none,73,75,20
female,group E,bachelor's degree,standard,none,21,33,23
male,group E,high school,standard,completed,10,27,57
male,group D,some college,standard,completed,76,18,74
female,group E,some high school,free/reduced,none,92,87,43
male,group E,high school,standard,none,48,49,16
female,group B,some college,free/reduced,none,77,12,22
male,group E,high school,standard,none,11,61,84
female,group E,high school,standard,completed,66,53,47
female,group E,associate's degree,standard,completed,98,48,44
female,group D,some college,free/reduced,completed,98,29,10
male,group E,high school,free/reduced,completed,24,0,90
female,group E,high school,standard,none,48,83,26
male,group D,master's degree,standard,none,54,83,74
male,group A,high school,free/reduced,completed,78,35,87
male,group C,associate's degree,free/reduced,none,47,71,71
male,group A,master's degree,free/reduced,completed,94,17,84
female,group C,associate's degree,standard,none,27,65,51
male,group E,high school,standard,none,49,81,0
female,group C,associate's degree,free/reduced,none,8,33,28
male,group B,high school,standard,completed,51,78,83
male,group E,bachelor's degree,standard,completed,56,1,25
male,group C,bachelor's degree,standard,none,86,4,46
female,group B,some college,standard,completed,99,51,45
male,group D,high school,standard,none,94,90,8
female,group E,master's degree,free/reduced,completed,35,28,77
female,group D,associate's degree,standard,completed,22,52,64
female,group E,bachelor's degree,free/reduced,completed,14,65,32
male,group D,associate's degree,free/reduced,none,96,43,99
male,group D,high school,standard,completed,14,33,8
male,group C,some high school,standard,completed,52,45,66
female,group A,some college,free/reduced,none,51,86,95
male,group B,high school,standard,completed,40,45,27
male,group C,some high school,standard,completed,94,25,30
female,group A,some college,standard,none,31,79,45
female,group B,bachelor's degree,standard,completed,78,0,97
female,group D,master's degree,free/reduced,completed,73,35,62
female,group E,master's degree,free/reduced,none,96,73,16
female,group E,associate's degree,free/reduced,none,64,44,50
female,group D,bachelor's degree,free/reduced,completed,88,1,1
female,group D,high school,standard,completed,46,78,33
female,group E,master's degree,standard,completed,60,78,43
male,group C,associate's degree,free/reduced,none,53,89,96
male,group A,associate's degree,free/reduced,completed,23,73,16
female,group B,some high school,free/reduced,none,71,55,48
female,group C,some high school,standard,completed,1,22,53
male,group C,some high school,free/reduced,completed,38,32,71
female,group D,bachelor's degree,standard,none,27,32,60
female,group D,some high school,free/reduced,completed,46,46,71
male,group A,bachelor's degree,free/reduced,none,44,86,77
female,group E,high school,standard,completed,45,41,86
male,group D,bachelor's degree,free/reduced,completed,59,80,18
female,group A,associate's degree,free/reduced,none,10,20,43
female,group A,master's degree,free/reduced,completed,77,82,50
male,group D,master's degree,free/reduced,completed,21,23,2
female,group C,some high school,free/reduced,none,26,21,50
female,group B,bachelor's degree,free/reduced,none,3,98,50
female,group B,master's degree,standard,none,83,49,39
female,group C,some high school,free/reduced,completed,80,16,16
female,group B,bachelor's degree,free/reduced,completed,60,59,69
male,group E,associate's degree,standard,none,75,76,58
male,group E,some high school,free/reduced,completed,61,69,29
female,group D,master's degree,free/reduced,completed,33,19,38
female,group B,high school,standard,completed,36,60,68
female,group D,associate's degree,free/reduced,none,98,55,37
female,group B,high school,free/reduced,none,52,71,55
male,group C,some college,free/reduced,completed,28,33,10
male,group C,high school,free/reduced,completed,83,95,68
male,group D,some college,standard,none,17,37,14
male,group E,associate's degree,free/reduced,completed,24,41,2
female,group B,high school,standard,none,13,36,34
female,group D,some high school,standard,none,11,19,1
male,group C,master's degree,free/reduced,completed,100,63,47
male,group B,master's degree,standard,none,7,34,99
male,group B,high school,free/reduced,none,24,32,48
female,group B,some high school,standard,completed,98,56,31
female,group C,associate's degree,standard,none,60,49,87
male,group A,some college,standard,none,32,61,81
male,group C,master's degree,standard,none,14,30,81
male,group A,bachelor's degree,standard,completed,74,15,50
female,group B,bachelor's degree,free/reduced,none,47,98,11
female,group C,associate's degree,standard,completed,97,80,7
female,group A,some high school,standard,none,16,62,29
male,group E,some high school,free/reduced,completed,93,24,2
male,group A,some high school,standard,completed,5,62,90
male,group E,master's degree,free/reduced,none,72,23,69
male,group A,some high school,free/reduced,completed,76,70,20
female,group E,some college,free/reduced,completed,33,69,46
male,group B,some high school,free/reduced,none,2,79,46
female,group A,some high school,standard,completed,24,67,87
male,group E,some college,free/reduced,completed,52,82,41
female,group B,high school,standard,none,16,22,4
female,group B,associate's degree,standard,none,4,73,82
male,group D,high school,free/reduced,none,46,28,77
female,group B,some college,free/reduced,none,59,81,7
male,group E,some high school,free/reduced,completed,90,7,78
male,group E,bachelor's degree,standard,completed,9,27,66
female,group B,some high school,standard,completed,24,24,67
female,group E,some high school,standard,completed,95,13,98
male,group D,some high school,free/reduced,none,21,23,70
male,group E,master's degree,standard,completed,45,40,70
male,group A,associate's degree,free/reduced,completed,77,30,72
female,group D,high school,free/reduced,completed,57,57,50
female,group B,master's degree,standard,none,38,0,38
female,group C,master's degree,standard,completed,70,65,71
female,group B,bachelor's degree,free/reduced,completed,19,17,33
male,group E,some college,standard,completed,38,11,73
male,group E,some college,standard,completed,61,22,62
female,group E,some high school,free/reduced,none,93,73,48
female,group B,master's degree,free/reduced,completed,53,15,98
female,group E,bachelor's degree,free/reduced,none,39,67,5
male,group E,high school,standard,completed,64,89,28
female,group B,some high school,free/reduced,completed,96,76,73
female,group C,associate's degree,free/reduced,completed,18,16,43
female,group D,high school,standard,completed,33,10,51
male,group C,some college,free/reduced,none,62,50,83
female,group E,high school,standard,none,9,34,99
male,group A,some high school,standard,none,85,52,54
male,group A,some college,free/reduced,completed,76,83,3
male,group C,master's degree,free/reduced,none,56,5,29
female,group A,some college,standard,none,94,6,31
female,group A,bachelor's degree,free/reduced,none,39,57,60
female,group A,some college,standard,none,69,66,96
male,group E,associate's degree,standard,none,48,74,84
female,group A,some college,standard,completed,25,89,79
male,group B,associate's degree,standard,none,49,84,34
male,group B,bachelor's degree,free/reduced,completed,29,48,65
female,group A,associate's degree,standard,none,25,64,58
female,group B,some college,free/reduced,completed,62,50,95
female,group B,master's degree,free/reduced,completed,80,38,30
male,group B,some high school,free/reduced,completed,3,71,35
female,group C,master's degree,free/reduced,none,11,93,48
female,group D,some college,standard,completed,39,77,42
male,group E,some college,standard,none,74,69,87
female,group C,master's degree,standard,completed,98,18,83
female,group A,bachelor's degree,standard,none,40,18,93
female,group A,associate's degree,free/reduced,completed,56,95,81
male,group C,some college,standard,none,23,3,97
male,group E,high school,standard,none,29,87,3
male,group B,some high school,free/reduced,none,64,77,60
male,group C,associate's degree,free/reduced,completed,17,20,24
female,group B,associate's degree,standard,completed,52,28,95
female,group C,bachelor's degree,standard,completed,78,62,88
male,group D,some college,free/reduced,completed,99,5,77
male,group A,associate's degree,standard,none,57,58,5
female,group E,high school,free/reduced,none,71,49,66
female,group C,master's degree,free/reduced,completed,38,99,36
male,group C,associate's degree,free/reduced,none,88,66,18
male,group D,bachelor's degree,standard,none,99,74,89
female,group D,associate's degree,free/reduced,completed,3,22,58
female,group D,bachelor's degree,free/reduced,completed,88,83,91
female,group B,bachelor's degree,standard,completed,81,46,10
male,group E,high school,standard,completed,70,48,5
female,group A,high school,standard,none,18,22,98
female,group D,master's degree,free/reduced,completed,36,80,23
female,group C,some college,standard,completed,1,58,63
male,group E,bachelor's degree,free/reduced,none,27,75,84
male,group D,associate's degree,free/reduced,none,76,76,0
female,group E,master's degree,standard,none,23,18,7
male,group B,some college,standard,completed,42,11,6
female,group D,some college,standard,completed,78,84,88
female,group D,some high school,free/reduced,none,11,98,38
male,group A,associate's degree,standard,completed,70,8,37
male,group C,bachelor's degree,free/reduced,completed,67,52,67
female,group C,high school,standard,none,73,93,80
female,group D,some high school,free/reduced,completed,77,40,33
male,group C,high school,free/reduced,completed,63,23,78
female,group A,some college,standard,none,3,59,80
female,group C,high school,free/reduced,completed,5,42,44
female,group B,some high school,standard,completed,32,8,39
male,group E,high school,free/reduced,none,14,87,42
male,group D,some high school,standard,none,24,42,43
male,group D,bachelor's degree,standard,completed,19,80,58
male,group D,associate's degree,standard,completed,72,92,86
male,group E,high school,standard,none,73,87,42
male,group B,some college,free/reduced,none,43,48,80
female,group E,high school,free/reduced,none,76,14,100
male,group A,some high school,standard,completed,52,11,63
female,group A,associate's degree,free/reduced,none,67,38,22
female,group A,bachelor's degree,standard,none,56,64,3
male,group E,some college,standard,completed,61,93,67
male,group A,some college,standard,none,26,92,4
male,group D,some high school,standard,none,39,5,87
female,group A,associate's degree,standard,none,66,98,84
male,group B,high school,free/reduced,none,41,25,24
male,group A,high school,free/reduced,completed,85,15,34
female,group C,master's degree,standard,none,79,71,65
female,group C,high school,free/reduced,completed,34,18,90
male,group E,some college,standard,none,39,78,43
male,group B,some college,standard,completed,86,6,13
male,group B,bachelor's degree,free/reduced,completed,22,90,76
male,group E,master's degree,free/reduced,completed,25,91,97
female,group D,high school,standard,none,89,59,12
male,group A,some high school,free/reduced,completed,29,28,18
male,group A,associate's degree,standard,completed,100,41,58
male,group B,bachelor's degree,free/reduced,none,44,61,59
female,group A,master's degree,standard,none,51,91,13
male,group E,some high school,standard,completed,68,59,51
male,group C,high school,standard,none,61,49,8
male,group C,some high school,free/reduced,completed,72,100,43
female,group C,some high school,standard,completed,14,75,76
male,group A,high school,standard,completed,22,39,51
female,group E,bachelor's degree,free/reduced,completed,63,82,84
female,group B,some college,standard,none,96,18,84
female,group D,high school,free/reduced,completed,78,73,57
female,group C,some high school,free/reduced,completed,72,86,38
male,group A,bachelor's degree,standard,completed,16,37,7
male,group E,bachelor's degree,standard,completed,14,36,3
female,group D,some high school,free/reduced,completed,91,48,51
male,group D,high school,standard,none,60,17,24
male,group A,associate's degree,standard,completed,85,16,17
female,group B,some high school,standard,none,92,62,84
male,group C,bachelor's degree,standard,completed,58,100,89
male,group E,some college,free/reduced,completed,70,57,49
male,group C,some college,free/reduced,none,73,63,93
female,group E,master's degree,free/reduced,completed,4,4,72
male,group A,bachelor's degree,free/reduced,none,18,93,93
male,group D,high school,standard,none,31,60,80
female,group E,high school,free/reduced,none,43,68,99
female,group D,associate's degree,free/reduced,completed,53,45,37
male,group C,bachelor's degree,free/reduced,completed,7,80,60
female,group E,bachelor's degree,free/reduced,none,36,62,10
female,group E,bachelor's degree,free/reduced,completed,16,78,35
male,group A,bachelor's degree,standard,none,75,94,19
male,group A,some college,free/reduced,none,62,23,67
female,group A,bachelor's degree,standard,none,63,96,52
male,group C,some high school,free/reduced,none,26,73,93
male,group B,some high school,free/reduced,none,6,21,59
male,group D,master's degree,free/reduced,none,48,87,90
male,group D,master's degree,standard,completed,1,36,57
male,group A,high school,standard,none,68,81,45
male,group E,some high school,free/reduced,completed,34,34,12
male,group E,associate's degree,free/reduced,none,93,86,75
female,group E,master's degree,standard,completed,70,1,86
female,group B,bachelor's degree,free/reduced,none,67,13,87
male,group A,some college,free/reduced,completed,24,4,3
female,group B,high school,standard,none,90,15,11
female,group D,some high school,standard,none,89,23,32
male,group D,some high school,standard,completed,35,98,54
male,group A,some college,standard,completed,99,7,48
male,group A,bachelor's degree,free/reduced,completed,22,56,8
male,group C,high school,free/reduced,none,82,62,13
female,group E,associate's degree,standard,none,56,91,33
female,group B,bachelor's degree,standard,completed,99,57,2
male,group C,some high school,standard,none,85,49,34
female,group A,associate's degree,standard,completed,61,55,51
female,group E,some college,standard,completed,88,99,61
female,group E,high school,free/reduced,completed,87,38,51
female,group B,master's degree,free/reduced,none,58,97,98
male,group C,some college,standard,completed,84,24,38
